"Datum","Geschaeft","Einheit_Code","Einheit_Name","Einheit_BFS","Einheit_BFSSub","Einheit_StimmenTotal","Partei","Partei_Kandstimmen","Partei_Zusatzstimmen","Partei_ParteistimmenTotal"
2023-10-22,"Nationalratswahl 2023","ZH001","Aeugst am Albis",1,1,28994,"SVP",9824,104,9928
2023-10-22,"Nationalratswahl 2023","ZH001","Aeugst am Albis",1,1,28994,"SP",3889,49,3938
2023-10-22,"Nationalratswahl 2023","ZH001","Aeugst am Albis",1,1,28994,"GP",2226,64,2290
2023-10-22,"Nationalratswahl 2023","ZH001","Aeugst am Albis",1,1,28994,"GLP",4059,147,4206
2023-10-22,"Nationalratswahl 2023","ZH001","Aeugst am Albis",1,1,28994,"FDP",3436,256,3692
2023-10-22,"Nationalratswahl 2023","ZH001","Aeugst am Albis",1,1,28994,"Mitte",1617,68,1685
2023-10-22,"Nationalratswahl 2023","ZH001","Aeugst am Albis",1,1,28994,"EVP",1046,69,1115
2023-10-22,"Nationalratswahl 2023","ZH001","Aeugst am Albis",1,1,28994,"FGA/AL/PDA",111,22,133
2023-10-22,"Nationalratswahl 2023","ZH001","Aeugst am Albis",1,1,28994,"EDU",679,0,679
2023-10-22,"Nationalratswahl 2023","ZH001","Aeugst am Albis",1,1,28994,"Übrige",1101,129,1230
2023-10-22,"Nationalratswahl 2023","ZH001","Aeugst am Albis",1,1,28994,"SD",97,1,98
2023-10-22,"Nationalratswahl 2023","ZH002","Affoltern am Albis",2,2,115290,"SVP",36427,690,37117
2023-10-22,"Nationalratswahl 2023","ZH002","Affoltern am Albis",2,2,115290,"SP",17721,414,18135
2023-10-22,"Nationalratswahl 2023","ZH002","Affoltern am Albis",2,2,115290,"GP",9034,293,9327
2023-10-22,"Nationalratswahl 2023","ZH002","Affoltern am Albis",2,2,115290,"GLP",14067,301,14368
2023-10-22,"Nationalratswahl 2023","ZH002","Affoltern am Albis",2,2,115290,"FDP",12882,342,13224
2023-10-22,"Nationalratswahl 2023","ZH002","Affoltern am Albis",2,2,115290,"Mitte",9391,334,9725
2023-10-22,"Nationalratswahl 2023","ZH002","Affoltern am Albis",2,2,115290,"EVP",6543,401,6944
2023-10-22,"Nationalratswahl 2023","ZH002","Affoltern am Albis",2,2,115290,"FGA/AL/PDA",439,0,439
2023-10-22,"Nationalratswahl 2023","ZH002","Affoltern am Albis",2,2,115290,"EDU",1351,0,1351
2023-10-22,"Nationalratswahl 2023","ZH002","Affoltern am Albis",2,2,115290,"Übrige",4127,315,4442
2023-10-22,"Nationalratswahl 2023","ZH002","Affoltern am Albis",2,2,115290,"SD",183,35,218
2023-10-22,"Nationalratswahl 2023","ZH003","Bonstetten",3,3,70951,"SVP",19740,223,19963
2023-10-22,"Nationalratswahl 2023","ZH003","Bonstetten",3,3,70951,"SP",12385,212,12597
2023-10-22,"Nationalratswahl 2023","ZH003","Bonstetten",3,3,70951,"GP",5473,141,5614
2023-10-22,"Nationalratswahl 2023","ZH003","Bonstetten",3,3,70951,"GLP",10882,291,11173
2023-10-22,"Nationalratswahl 2023","ZH003","Bonstetten",3,3,70951,"FDP",9731,196,9927
2023-10-22,"Nationalratswahl 2023","ZH003","Bonstetten",3,3,70951,"Mitte",4803,271,5074
2023-10-22,"Nationalratswahl 2023","ZH003","Bonstetten",3,3,70951,"EVP",2577,72,2649
2023-10-22,"Nationalratswahl 2023","ZH003","Bonstetten",3,3,70951,"FGA/AL/PDA",516,0,516
2023-10-22,"Nationalratswahl 2023","ZH003","Bonstetten",3,3,70951,"EDU",859,2,861
2023-10-22,"Nationalratswahl 2023","ZH003","Bonstetten",3,3,70951,"Übrige",2364,125,2489
2023-10-22,"Nationalratswahl 2023","ZH003","Bonstetten",3,3,70951,"SD",88,0,88
2023-10-22,"Nationalratswahl 2023","ZH004","Hausen am Albis",4,4,49101,"SVP",16445,315,16760
2023-10-22,"Nationalratswahl 2023","ZH004","Hausen am Albis",4,4,49101,"SP",8403,326,8729
2023-10-22,"Nationalratswahl 2023","ZH004","Hausen am Albis",4,4,49101,"GP",4849,58,4907
2023-10-22,"Nationalratswahl 2023","ZH004","Hausen am Albis",4,4,49101,"GLP",5798,144,5942
2023-10-22,"Nationalratswahl 2023","ZH004","Hausen am Albis",4,4,49101,"FDP",4960,115,5075
2023-10-22,"Nationalratswahl 2023","ZH004","Hausen am Albis",4,4,49101,"Mitte",3288,129,3417
2023-10-22,"Nationalratswahl 2023","ZH004","Hausen am Albis",4,4,49101,"EVP",1396,34,1430
2023-10-22,"Nationalratswahl 2023","ZH004","Hausen am Albis",4,4,49101,"FGA/AL/PDA",310,0,310
2023-10-22,"Nationalratswahl 2023","ZH004","Hausen am Albis",4,4,49101,"EDU",647,0,647
2023-10-22,"Nationalratswahl 2023","ZH004","Hausen am Albis",4,4,49101,"Übrige",1870,6,1876
2023-10-22,"Nationalratswahl 2023","ZH004","Hausen am Albis",4,4,49101,"SD",8,0,8
2023-10-22,"Nationalratswahl 2023","ZH005","Hedingen",5,5,52653,"SVP",16129,345,16474
2023-10-22,"Nationalratswahl 2023","ZH005","Hedingen",5,5,52653,"SP",8036,162,8198
2023-10-22,"Nationalratswahl 2023","ZH005","Hedingen",5,5,52653,"GP",3652,223,3875
2023-10-22,"Nationalratswahl 2023","ZH005","Hedingen",5,5,52653,"GLP",8282,144,8426
2023-10-22,"Nationalratswahl 2023","ZH005","Hedingen",5,5,52653,"FDP",7551,95,7646
2023-10-22,"Nationalratswahl 2023","ZH005","Hedingen",5,5,52653,"Mitte",3330,97,3427
2023-10-22,"Nationalratswahl 2023","ZH005","Hedingen",5,5,52653,"EVP",1456,92,1548
2023-10-22,"Nationalratswahl 2023","ZH005","Hedingen",5,5,52653,"FGA/AL/PDA",108,0,108
2023-10-22,"Nationalratswahl 2023","ZH005","Hedingen",5,5,52653,"EDU",1048,0,1048
2023-10-22,"Nationalratswahl 2023","ZH005","Hedingen",5,5,52653,"Übrige",1762,102,1864
2023-10-22,"Nationalratswahl 2023","ZH005","Hedingen",5,5,52653,"SD",39,0,39
2023-10-22,"Nationalratswahl 2023","ZH006","Kappel am Albis",6,6,15169,"SVP",7172,66,7238
2023-10-22,"Nationalratswahl 2023","ZH006","Kappel am Albis",6,6,15169,"SP",1424,11,1435
2023-10-22,"Nationalratswahl 2023","ZH006","Kappel am Albis",6,6,15169,"GP",912,3,915
2023-10-22,"Nationalratswahl 2023","ZH006","Kappel am Albis",6,6,15169,"GLP",1844,49,1893
2023-10-22,"Nationalratswahl 2023","ZH006","Kappel am Albis",6,6,15169,"FDP",1147,32,1179
2023-10-22,"Nationalratswahl 2023","ZH006","Kappel am Albis",6,6,15169,"Mitte",1025,150,1175
2023-10-22,"Nationalratswahl 2023","ZH006","Kappel am Albis",6,6,15169,"EVP",642,5,647
2023-10-22,"Nationalratswahl 2023","ZH006","Kappel am Albis",6,6,15169,"FGA/AL/PDA",84,5,89
2023-10-22,"Nationalratswahl 2023","ZH006","Kappel am Albis",6,6,15169,"EDU",143,0,143
2023-10-22,"Nationalratswahl 2023","ZH006","Kappel am Albis",6,6,15169,"Übrige",453,0,453
2023-10-22,"Nationalratswahl 2023","ZH006","Kappel am Albis",6,6,15169,"SD",2,0,2
2023-10-22,"Nationalratswahl 2023","ZH007","Knonau",7,7,27792,"SVP",8714,93,8807
2023-10-22,"Nationalratswahl 2023","ZH007","Knonau",7,7,27792,"SP",4144,142,4286
2023-10-22,"Nationalratswahl 2023","ZH007","Knonau",7,7,27792,"GP",1913,46,1959
2023-10-22,"Nationalratswahl 2023","ZH007","Knonau",7,7,27792,"GLP",3851,175,4026
2023-10-22,"Nationalratswahl 2023","ZH007","Knonau",7,7,27792,"FDP",2366,32,2398
2023-10-22,"Nationalratswahl 2023","ZH007","Knonau",7,7,27792,"Mitte",2960,169,3129
2023-10-22,"Nationalratswahl 2023","ZH007","Knonau",7,7,27792,"EVP",1221,0,1221
2023-10-22,"Nationalratswahl 2023","ZH007","Knonau",7,7,27792,"FGA/AL/PDA",51,0,51
2023-10-22,"Nationalratswahl 2023","ZH007","Knonau",7,7,27792,"EDU",546,0,546
2023-10-22,"Nationalratswahl 2023","ZH007","Knonau",7,7,27792,"Übrige",1166,142,1308
2023-10-22,"Nationalratswahl 2023","ZH007","Knonau",7,7,27792,"SD",61,0,61
2023-10-22,"Nationalratswahl 2023","ZH008","Maschwanden",8,8,8360,"SVP",3015,28,3043
2023-10-22,"Nationalratswahl 2023","ZH008","Maschwanden",8,8,8360,"SP",1514,32,1546
2023-10-22,"Nationalratswahl 2023","ZH008","Maschwanden",8,8,8360,"GP",627,23,650
2023-10-22,"Nationalratswahl 2023","ZH008","Maschwanden",8,8,8360,"GLP",1019,28,1047
2023-10-22,"Nationalratswahl 2023","ZH008","Maschwanden",8,8,8360,"FDP",263,1,264
2023-10-22,"Nationalratswahl 2023","ZH008","Maschwanden",8,8,8360,"Mitte",674,2,676
2023-10-22,"Nationalratswahl 2023","ZH008","Maschwanden",8,8,8360,"EVP",279,52,331
2023-10-22,"Nationalratswahl 2023","ZH008","Maschwanden",8,8,8360,"FGA/AL/PDA",7,0,7
2023-10-22,"Nationalratswahl 2023","ZH008","Maschwanden",8,8,8360,"EDU",134,0,134
2023-10-22,"Nationalratswahl 2023","ZH008","Maschwanden",8,8,8360,"Übrige",660,0,660
2023-10-22,"Nationalratswahl 2023","ZH008","Maschwanden",8,8,8360,"SD",2,0,2
2023-10-22,"Nationalratswahl 2023","ZH009","Mettmenstetten",9,9,72221,"SVP",24135,866,25001
2023-10-22,"Nationalratswahl 2023","ZH009","Mettmenstetten",9,9,72221,"SP",10949,341,11290
2023-10-22,"Nationalratswahl 2023","ZH009","Mettmenstetten",9,9,72221,"GP",5445,120,5565
2023-10-22,"Nationalratswahl 2023","ZH009","Mettmenstetten",9,9,72221,"GLP",10053,259,10312
2023-10-22,"Nationalratswahl 2023","ZH009","Mettmenstetten",9,9,72221,"FDP",7284,268,7552
2023-10-22,"Nationalratswahl 2023","ZH009","Mettmenstetten",9,9,72221,"Mitte",5009,226,5235
2023-10-22,"Nationalratswahl 2023","ZH009","Mettmenstetten",9,9,72221,"EVP",2231,250,2481
2023-10-22,"Nationalratswahl 2023","ZH009","Mettmenstetten",9,9,72221,"FGA/AL/PDA",210,0,210
2023-10-22,"Nationalratswahl 2023","ZH009","Mettmenstetten",9,9,72221,"EDU",1448,1,1449
2023-10-22,"Nationalratswahl 2023","ZH009","Mettmenstetten",9,9,72221,"Übrige",2765,169,2934
2023-10-22,"Nationalratswahl 2023","ZH009","Mettmenstetten",9,9,72221,"SD",157,35,192
2023-10-22,"Nationalratswahl 2023","ZH010","Obfelden",10,10,56138,"SVP",20460,625,21085
2023-10-22,"Nationalratswahl 2023","ZH010","Obfelden",10,10,56138,"SP",8320,242,8562
2023-10-22,"Nationalratswahl 2023","ZH010","Obfelden",10,10,56138,"GP",3685,163,3848
2023-10-22,"Nationalratswahl 2023","ZH010","Obfelden",10,10,56138,"GLP",6715,139,6854
2023-10-22,"Nationalratswahl 2023","ZH010","Obfelden",10,10,56138,"FDP",4979,98,5077
2023-10-22,"Nationalratswahl 2023","ZH010","Obfelden",10,10,56138,"Mitte",5408,170,5578
2023-10-22,"Nationalratswahl 2023","ZH010","Obfelden",10,10,56138,"EVP",1993,179,2172
2023-10-22,"Nationalratswahl 2023","ZH010","Obfelden",10,10,56138,"FGA/AL/PDA",63,0,63
2023-10-22,"Nationalratswahl 2023","ZH010","Obfelden",10,10,56138,"EDU",1031,0,1031
2023-10-22,"Nationalratswahl 2023","ZH010","Obfelden",10,10,56138,"Übrige",1809,55,1864
2023-10-22,"Nationalratswahl 2023","ZH010","Obfelden",10,10,56138,"SD",4,0,4
2023-10-22,"Nationalratswahl 2023","ZH011","Ottenbach",11,11,36424,"SVP",12525,179,12704
2023-10-22,"Nationalratswahl 2023","ZH011","Ottenbach",11,11,36424,"SP",4849,55,4904
2023-10-22,"Nationalratswahl 2023","ZH011","Ottenbach",11,11,36424,"GP",2681,26,2707
