"Name","Kanton","Partei","Geschlecht","Status","Kantons-Nr."
"Balmer Bettina","ZH","FDP","F","-","1"
"Portmann Hans-Peter","ZH","FDP","M","bisherig","1"
"Sauter Regine","ZH","FDP","F","bisherig","1"
"Silberschmidt Andri","ZH","FDP","M","bisherig","1"
"Walti Beat","ZH","FDP","M","bisherig","1"
"Barandun Nicole","ZH","Mitte","F","-","1"
"Bürgin Yvonne","ZH","Mitte","F","-","1"
"Kutter Philipp","ZH","Mitte","M","bisherig","1"
"Alijaj Islam","ZH","SP","M","-","1"
"Rosenwasser Anna","ZH","SP","F","-","1"
"Badran Jacqueline","ZH","SP","F","bisherig","1"
"Marti Min Li","ZH","SP","F","bisherig","1"
"Meyer Mattea","ZH","SP","F","bisherig","1"
"Molina Fabian","ZH","SP","M","bisherig","1"
"Seiler Graf Priska","ZH","SP","F","bisherig","1"
"Widmer Céline","ZH","SP","F","bisherig","1"
"Fehr Düsel Nina","ZH","SVP","F","-","1"
"Hübscher Martin","ZH","SVP","M","-","1"
"Fischer 'Benjamin 'Beni''","ZH","SVP","M","bisherig","1"
"Haab Martin","ZH","SVP","M","bisherig","1"
"Heer 'Alfred 'Fredi''","ZH","SVP","M","bisherig","1"
"Matter 'Thomas 'Tommy''","ZH","SVP","M","bisherig","1"
"Rutz Gregor","ZH","SVP","M","bisherig","1"
"Steinemann Barbara","ZH","SVP","F","bisherig","1"
"Tuena Mauro","ZH","SVP","M","bisherig","1"
"Walliser Bruno","ZH","SVP","M","bisherig","1"
"Gugger Nik","ZH","EVP","M","bisherig","1"
"Bäumle Martin","ZH","GLP","M","bisherig","1"
"Gredig Corina","ZH","GLP","F","bisherig","1"
"Moser Tiana Angelina","ZH","GLP","F","bisherig","1"
"Schaffner Barbara","ZH","GLP","F","bisherig","1"
"Girod Bastien","ZH","GRÜNE","M","bisherig","1"
"Glättli Balthasar","ZH","GRÜNE","M","bisherig","1"
"Prelicz-Huber Katharina","ZH","GRÜNE","F","bisherig","1"
"Schlatter Marionna","ZH","GRÜNE","F","bisherig","1"
"Vontobel Erich","ZH","EDU","M","-","1"
"Wasserfallen Christian","BE","FDP","M","bisherig","2"
"Nause Reto","BE","Mitte","M","-","2"
"Hess Lorenz","BE","Mitte","M","bisherig","2"
"Zybach Ursula","BE","SP","F","-","2"
"Aebischer Matthias","BE","SP","M","bisherig","2"
"Funiciello Tamara","BE","SP","F","bisherig","2"
"Masshardt Nadine","BE","SP","F","bisherig","2"
"Wasserfallen Flavia","BE","SP","F","bisherig","2"
"Knutti Thomas","BE","SVP","M","-","2"
"Riem Katja","BE","SVP","F","-","2"
"Salzmann Werner","BE","SVP","M","-","2"
"Wandfluh Ernst","BE","SVP","M","-","2"
"Bühler Manfred","BE","SVP","M","bisherig","2"
"Guggisberg Lars","BE","SVP","M","bisherig","2"
"Hess Erich","BE","SVP","M","bisherig","2"
"Umbricht Pieren Nadja","BE","SVP","F","bisherig","2"
"Jost Marc","BE","EVP","M","bisherig","2"
"Bertschy Kathrin","BE","GLP","F","bisherig","2"
"Grossen Jürg","BE","GLP","M","bisherig","2"
"Mettler Melanie","BE","GLP","F","bisherig","2"
"Badertscher Christine","BE","GRÜNE","F","bisherig","2"
"Baumann Kilian","BE","GRÜNE","M","bisherig","2"
"Trede Aline","BE","GRÜNE","F","bisherig","2"
"Gafner Andreas","BE","EDU","M","bisherig","2"
"Schilliger Peter","LU","FDP","M","bisherig","3"
"Kaufmann Pius","LU","Mitte","M","-","3"
"Müller Leo","LU","Mitte","M","bisherig","3"
"Wismer-Felder Priska","LU","Mitte","F","bisherig","3"
"Candan Hasan","LU","SP","M","-","3"
"Roth David","LU","SP","M","-","3"
"Thalmann-Bieri Vroni","LU","SVP","F","-","3"
"Grüter Franz","LU","SVP","M","bisherig","3"
"Töngi Michael","LU","GRÜNE","M","bisherig","3"
"Stadler Simon","UR","Mitte","M","bisherig","4"
"Gössi Petra","SZ","FDP","F","bisherig","5"
"Blunschy Dominik","SZ","Mitte","M","-","5"
"Bürgi Roman","SZ","SVP","M","-","5"
"Dettling Marcel","SZ","SVP","M","bisherig","5"
"Rüegger Monika","OW","SVP","F","bisherig","6"
"Durrer-Knobel Regina","NW","Mitte","F","-","7"
"Schnyder Markus","GL","SVP","M","-","8"
"Pfister Gerhard","ZG","Mitte","M","bisherig","9"
"Aeschi Thomas","ZG","SVP","M","bisherig","9"
"Weichelt Manuela","ZG","GRÜNE","F","bisherig","9"
"Gobet Nadine","FR","FDP","F","-","10"
"Bulliard-Marbach Christine","FR","Mitte","F","bisherig","10"
"Roth Pasquier Marie-France","FR","Mitte","F","bisherig","10"
"Piller Carrard Valérie","FR","SP","F","bisherig","10"
"Kolly Nicolas","FR","SVP","M","-","10"
"Page Pierre-André","FR","SVP","M","bisherig","10"
"Andrey Gerhard","FR","GRÜNE","M","bisherig","10"
"Michel Simon","SO","FDP","M","-","11"
"Müller-Altermatt Stefan","SO","Mitte","M","bisherig","11"
"Roth Franziska","SO","SP","F","bisherig","11"
"Wyssmann Rémy","SO","SVP","M","-","11"
"Imark Christian","SO","SVP","M","bisherig","11"
"Wettstein Felix","SO","GRÜNE","M","bisherig","11"
"Wyss Sarah","BS","SP","F","bisherig","12"
"von Falkenstein Patricia","BS","LPS","F","bisherig","12"
"Christ Katja","BS","GLP","F","bisherig","12"
"Arslan Sibel","BS","GRÜNE","F","bisherig","12"
"Schneeberger Daniela","BL","FDP","F","bisherig","13"
"Schneider-Schneiter Elisabeth","BL","Mitte","F","bisherig","13"
"Marti Samira","BL","SP","F","bisherig","13"
"Nussbaumer Eric","BL","SP","M","bisherig","13"
"de Courten Thomas","BL","SVP","M","bisherig","13"
"Sollberger Sandra","BL","SVP","F","bisherig","13"
"Brenzikofer Florence","BL","GRÜNE","F","bisherig","13"
"Munz Martina","SH","SP","F","bisherig","14"
"Hurter Thomas","SH","SVP","M","bisherig","14"
"Zuberbühler David","AR","SVP","M","bisherig","15"
"Rechsteiner Thomas","AI","Mitte","M","bisherig","16"
"Dobler Marcel","SG","FDP","M","bisherig","17"
"Vincenz-Stauffacher Susanne","SG","FDP","F","bisherig","17"
"Paganini Nicolò","SG","Mitte","M","bisherig","17"
"Ritter Markus","SG","Mitte","M","bisherig","17"
"Friedl Claudia","SG","SP","F","bisherig","17"
"Gysi Barbara","SG","SP","F","bisherig","17"
"Gartmann Walter","SG","SVP","M","-","17"
"Büchel Roland Rino","SG","SVP","M","bisherig","17"
"Egger Mike","SG","SVP","M","bisherig","17"
"Götte Michael","SG","SVP","M","bisherig","17"
"Reimann Lukas","SG","SVP","M","bisherig","17"
"Ryser Franziska","SG","GRÜNE","F","bisherig","17"
"Giacometti Anna","GR","FDP","F","bisherig","18"
"Candinas Martin","GR","Mitte","M","bisherig","18"
"Pult Jon","GR","SP","M","bisherig","18"
"Hug Roman","GR","SVP","M","-","18"
"Martullo-Blocher Magdalena","GR","SVP","F","bisherig","18"
"Jauslin Matthias Samuel","AG","FDP","M","bisherig","19"
"Riniker Maja","AG","FDP","F","bisherig","19"
"Binder-Keller Marianne","AG","Mitte","F","bisherig","19"
"Meier Andreas","AG","Mitte","M","bisherig","19"
"Brizzi Simona","AG","SP","F","-","19"
"Suter Gabriela","AG","SP","F","bisherig","19"
"Wermuth Cédric","AG","SP","M","bisherig","19"
"Riner Christoph","AG","SVP","M","-","19"
"Bircher Martina","AG","SVP","F","bisherig","19"
"Burgherr Thomas","AG","SVP","M","bisherig","19"
"Giezendanner Benjamin","AG","SVP","M","bisherig","19"
"Glarner Andreas","AG","SVP","M","bisherig","19"
"Heimgartner Stefanie","AG","SVP","F","bisherig","19"
